membership,Balance,Qual_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll
1,28143,0,174,1,0,0,7000
1,19244,0,215,2,0,0,6968
1,41354,0,4123,4,0,0,7034
1,14776,0,500,1,0,0,6952
1,97752,0,43300,26,2077,4,6935
1,16420,0,0,0,0,0,6942
1,84914,0,27482,25,0,0,6994
1,20856,0,5250,4,250,1,6938
1,109312.80000000002,0,1753,43,3850,12,6948
1,104860,0,28426,28,1150,3,6931
1,40091,0,7278,10,0,0,6959
1,96522,0,48529.60000000001,19,0,0,6924
1,43382,0,11150,20,0,0,6924
1,43097,0,3258,6,0,0,6918
1,17648,0,0,0,0,0,6912
1,28495,0,49442,15,0,0,6912
1,51890,0,48963,16,0,0,6910
1,13958,0,4291,5,0,0,6905
1,91473,0,27408,17,0,0,6903
1,23354,0,10447,5,0,0,6896
2,120576,0,48529.60000000001,23,250,2,6896
1,185681,0,13300,16,1800,9,6896
1,20584,0,3450,11,3450,11,6884
1,66275,0,2533,11,150,1,6884
1,109312.80000000002,0,4025,21,700,4,7932
1,20726,0,1375,4,0,0,7924
1,18521,0,1227,2,1227,2,7917
1,8828,0,0,0,0,0,7914
1,59763,0,33772,20,100,1,7907
1,19221,0,4655,8,500,1,7896
1,177926,0,20797,13,0,0,7886
1,10021,0,0,0,0,0,7879
2,109312.80000000002,0,42044,23,0,0,7872
1,18047,0,100,1,0,0,7868
1,43832,0,0,0,0,0,7865
2,123759,0,50572,23,2500,5,7865
1,23193,0,650,4,550,3,7861
1,68666,0,350,2,350,2,7861
1,59990,0,27878,17,0,0,7854
1,2176,0,0,0,0,0,7847
1,34616,0,1750,4,500,1,7850
1,10470,0,38094,26,0,0,7840
1,60313,0,10000,26,3250,9,7829
1,109312.80000000002,0,15008,14,0,0,7819
1,121260,0,18493,18,0,0,7808
1,109312.80000000002,0,23600,14,2000,4,6884
1,92336,0,11214,6,0,0,6884
1,36924,0,5900,6,300,2,6879
1,70312,0,34678,24,500,1,6875
1,17051,0,1150,4,1150,4,6868
1,108137,0,6368,5,6368,5,6844
1,1300,0,370,1,0,0,6868
2,118531,0,44577,38,0,0,6868
1,121395,0,4970,8,650,2,6889
1,38348,0,0,0,0,0,6861
1,14448,0,1625,6,0,0,6856
1,75971,0,34339,14,0,0,6869
1,36298,0,3100,5,600,3,6865
1,38077,0,34024,8,0,0,6837
1,95118,0,23188,23,2200,7,6865
1,134457,0,15588,14,0,0,6861
1,19918,0,17601,11,0,0,6863
1,10120,0,0,0,0,0,6864
1,109312.80000000002,0,28079,8,0,0,6835
1,80250,0,895,2,0,0,6833
1,53914,0,33767,45,5550,29,6826
1,9375,0,1750,7,0,0,6826
1,83237,0,35287,18,0,0,6837
1,109312.80000000002,0,24047,12,0,0,6826
1,47457,0,12621,16,0,0,7766
1,84409,0,15436,16,1150,4,7766
2,109312.80000000002,0,39787,13,0,0,7787
1,109312.80000000002,0,12500,13,50,1,7801
1,12646,0,631,4,631,4,7787
