,Total Revenue,clust,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges
0,59.65,2,0,1,0.0,8,39.65,39.65,0.0,20,0.0
1,1024.1,2,1,8,48.85,17,80.65,633.3,0.0,0,390.8
2,1910.88,1,0,18,11.33,52,95.45,1752.55,45.61,0,203.94
3,2995.07,1,1,25,19.76,12,98.5,2514.5,13.43,0,494.00000000000006
4,3102.36,2,1,37,6.33,14,76.5,2868.15,0.0,0,234.21
5,2235.41,2,0,27,3.33,18,78.05,2135.5,0.0,10,89.91
6,85.73,2,1,1,15.28,30,70.45,70.45,0.0,0,15.28
7,2610.25,1,6,58,0.0,24,45.3,2651.2,40.95,0,0.0
8,1806.75,2,0,15,44.07,19,74.45,1145.7,0.0,0,661.05
9,681.2,2,0,7,26.95,18,76.45,503.6,11.05,0,188.65
10,1367.79,2,0,11,11.59,29,95.0,1120.3,0.0,120,127.49
11,1510.9499999999998,2,0,15,29.11,29,74.4,1074.3,0.0,0,436.65
12,40.2,2,1,1,0.0,12,40.2,40.2,0.0,0,0.0
13,132.2,2,0,3,0.0,28,41.15,132.2,0.0,0,0.0
14,1799.1399999999999,2,0,13,32.68,11,106.9,1364.3,0.0,10,424.84
15,1662.08,2,0,16,9.43,9,94.45,1511.2,0.0,0,150.88
16,620.79,2,0,8,1.78,7,74.5,606.55,0.0,0,14.24
17,2453.58,2,0,24,30.87,15,76.1,1712.7,0.0,0,740.88
18,522.54,2,0,4,31.61,2,95.45,396.1,0.0,0,126.44
19,3818.23,2,2,32,47.34,10,74.9,2303.35,0.0,0,1514.88
20,2617.4500000000003,2,1,24,16.1,12,93.15,2231.05,0.0,0,386.40000000000003
21,5002.42,0,0,54,12.08,5,82.45,4350.1,0.0,0,652.32
22,165.39000000000001,2,0,2,13.17,10,70.35,139.05,0.0,0,26.34
23,840.1,2,0,21,0.0,8,41.9,840.1,0.0,0,0.0
24,945.1,2,0,27,0.0,13,30.75,805.1,0.0,140,0.0
25,539.69,2,1,11,29.54,0,19.95,214.75,0.0,0,324.94
26,7319.799999999999,2,2,55,42.82,27,85.45,4874.7,0.0,90,2355.1
27,261.36,2,0,3,9.22,14,81.35,233.7,0.0,0,27.660000000000004
28,130.39,2,0,1,35.09,17,75.3,75.3,0.0,20,35.09
29,131.05,2,0,5,0.0,26,28.45,131.05,0.0,0,0.0
30,2837.0,2,0,20,48.73,12,94.1,1782.4,0.0,80,974.5999999999999
31,563.6,2,4,5,45.76,22,74.35,334.8,0.0,0,228.79999999999998
32,2118.89,2,2,27,7.02,25,75.2,1929.35,0.0,0,189.54
33,539.6,2,0,4,48.35,24,89.2,346.2,0.0,0,193.4
34,131.51,2,0,1,45.81,21,85.7,85.7,0.0,0,45.81
35,7981.75,0,3,65,18.39,28,105.25,6786.4,0.0,0,1195.3500000000001
36,5670.33,0,3,49,22.92,14,90.05,4547.25,0.0,0,1123.0800000000002
37,5312.259999999999,0,1,43,14.52,5,110.75,4687.9,0.0,0,624.36
38,8527.449999999999,0,0,56,48.8,12,104.55,5794.65,0.0,0,2732.7999999999997
39,2005.8500000000001,2,7,20,5.31,10,94.55,1899.65,0.0,0,106.19999999999999
40,256.44,2,0,2,47.47,19,89.5,161.5,0.0,0,94.94
41,387.9,2,0,8,27.95,0,19.65,164.3,0.0,0,223.6
42,2580.9,2,0,52,0.0,18,49.15,2550.9,0.0,30,0.0
43,179.07999999999998,2,0,2,43.99,27,49.25,91.1,0.0,0,87.98
44,4022.29,2,1,33,27.78,8,94.5,3105.55,0.0,0,916.74
45,4134.55,0,0,30,45.88,19,91.7,2758.15,0.0,0,1376.4
46,2851.6,2,0,20,44.44,13,98.55,1842.8,0.0,120,888.8
47,4983.820000000001,0,0,46,2.37,20,110.0,4874.8,0.0,0,109.02000000000001
48,797.72,2,1,7,21.91,11,95.6,644.35,0.0,0,153.37
49,440.52,2,0,4,36.93,18,78.85,292.8,0.0,0,147.72
50,7665.200000000001,2,0,55,37.38,7,100.0,5509.3,0.0,100,2055.9
51,1570.9,2,1,20,5.37,24,73.65,1463.5,0.0,0,107.4
52,1356.99,2,0,9,48.71,15,100.5,918.6,0.0,0,438.39
53,773.25,2,0,10,5.46,24,72.85,688.65,0.0,30,54.6
54,110.47,2,0,1,36.92,6,73.55,73.55,0.0,0,36.92
55,330.75,2,0,3,41.9,11,79.4,205.05,0.0,0,125.69999999999999
56,386.82000000000005,2,0,4,6.68,17,84.6,360.1,0.0,0,26.72
57,4244.85,2,0,35,20.83,19,99.05,3395.8,0.0,120,729.05
58,138.39000000000001,2,0,2,26.62,11,44.95,85.15,0.0,0,53.24
59,924.9100000000001,2,0,8,11.57,27,100.3,832.35,0.0,0,92.56
60,1359.7,2,2,44,0.0,28,30.35,1359.7,0.0,0,0.0
61,6824.17,0,1,62,7.11,16,103.75,6383.35,0.0,0,440.82
62,3751.77,2,1,33,33.19,15,80.6,2656.5,0.0,0,1095.27
63,622.45,2,0,4,49.5,23,94.3,424.45,0.0,0,198.0
64,2180.15,2,1,27,10.6,23,75.5,1893.95,0.0,0,286.2
65,1143.0,2,0,8,40.45,29,100.6,819.4,0.0,0,323.6
66,351.06,2,1,3,25.77,2,88.3,273.75,0.0,0,77.31
67,1073.39,2,0,8,42.93,9,92.1,729.95,0.0,0,343.44
68,1424.4399999999998,2,0,14,11.31,24,90.45,1266.1,0.0,0,158.34
69,526.95,2,0,12,0.0,10,43.65,526.95,0.0,0,0.0
70,1465.1599999999999,2,0,13,40.37,21,74.3,940.35,0.0,0,524.81
71,1091.26,2,0,11,3.96,27,89.7,1047.7,0.0,0,43.56
72,2101.51,2,1,17,28.18,16,100.45,1622.45,0.0,0,479.06
73,5581.55,0,1,39,33.25,26,105.65,4284.8,0.0,0,1296.75
74,1323.4,2,5,11,17.25,27,104.05,1133.65,0.0,0,189.75
75,233.92000000000002,2,1,3,3.29,9,80.4,224.05,0.0,0,9.870000000000001
76,1963.17,2,0,21,34.62,14,60.05,1236.15,0.0,0,727.02
77,2149.2,2,0,16,38.75,16,96.15,1529.2,0.0,0,620.0
78,4706.18,0,0,46,6.13,30,95.25,4424.2,0.0,0,281.98
79,7768.4400000000005,0,1,68,24.13,24,89.6,6127.6,0.0,0,1640.84
80,772.11,2,1,7,13.63,27,89.5,676.7,0.0,0,95.41000000000001
81,2024.3,2,1,15,45.25,22,85.6,1345.55,0.0,0,678.75
82,1587.88,2,0,16,19.18,22,86.6,1281.0,0.0,0,306.88
83,98.93,2,0,1,29.68,18,69.25,69.25,0.0,0,29.68
